id,title,statement,why,enforced_by,verified_by
INV-018,Vault never leaks raw secrets,The Vault Broker performs operations on secrets without exposing the secret material to the requester. Capabilities like 'decrypt this blob with key K' return only the operation's result; the requester never sees K.,"see INV-003. This invariant restates and tightens the rule for the broker side: even a HUMAN_USER subject with a vault capability does not receive raw bytes by default; only a tightly scoped 'reveal-to-human' capability (rare, requires recovery + human approver) returns material, and that operation is logged with FOREVER retention.",L4 vault broker (deferred sub-spec).,S2.4 property `VAULT_NO_RAW_SECRET_LEAK` (existing closed `PropertyType` value).
INV-019,Visual identity preserved across renderers,"AIOS visual language is constitutional. The KDE Plasma renderer (S7.4), Web renderer (S7.5), CLI renderer (S7.6), Voice renderer, and Mobile renderer cannot invent their own chrome or trust UX. Cross-renderer visual identity must be recognizable as AIOS — an operator using KDE and an operator using Web must instantly know they are using the same OS.","without this invariant, each renderer drifts toward its host platform's defaults; AIOS looks like a generic app on each surface; the trust model degrades visually because security indicators look like generic notifications instead of constitutional chrome.",L7 renderer specs binding to the shared visual language contract (S7.3 Visual Language); S7.1 Surface + Composition Model defining composition zones and chrome rules; S7.2 Shared UI Schema constraining per-renderer surface schemas to the same vocabulary; renderer build gate rejects chrome divergence.,S2.4 property `RENDERER_VISUAL_IDENTITY_PRESERVED` (added to the closed `PropertyType` enum). The property is a scheduled audit that checks each renderer's chrome rendering against the visual language contract; scheduled audit will be wired in S2.4 at consolidation.
INV-020,Trust indicators cannot be hidden by app surfaces,"The security indicator showing subject `is_ai` (per L4 identity §10), `action_id` (per S0.1), and the evidence link (per S3.1) is always visible. App surfaces (per S7.1's `SurfaceKind = APP_SURFACE`) cannot overdraw, obscure, or fake the AIOS chrome zone. The CHROME zone is always on top in S7.1's composition model.","trust indicators are how the operator knows who acted (AI or human), what they did (action id), and where to verify (evidence link). An app surface that can hide them becomes a phishing vector inside the OS itself.",S7.1 composition zones — the CHROME zone is always on top; renderer rejects app-surface attempts to write into the CHROME zone; KWin layer-shell protocol enforces the top layer on KDE (S7.4); DOM `z-index` plus shadow root on Web (S7.5); CLI (S7.6) reserves a status row no app stream can overwrite.,S2.4 property `TRUST_INDICATORS_ALWAYS_VISIBLE` (added to the closed `PropertyType` enum). The audit confirms that the chrome zone is rendered above all app surfaces in every renderer; scheduled audit will be wired in S2.4 at consolidation.
INV-021,AI vs human action visually distinct,"Every UI representation of an action — in evidence views, audit trails, approval queues, and action streams — visually distinguishes whether an AI subject (`is_ai = true` per L4 identity §10) or a human subject performed it. The distinct treatments are part of the constitutional visual language; the same treatment cannot be reused across AI and human actions.",the AIOS trust model rests on the operator knowing at a glance whether they are looking at AI output or a human action. Visual ambiguity erases the bounded-AI-agency property that the rest of the constitution depends on.,"S7.3 Visual Language spec defining `color.action.ai` and `color.action.human` as separate semantic tokens, with iconography and possibly typography distinctions; S7.2 Shared UI Schema binds those tokens to subject-axis renderer hints; renderer implementations (S7.4 KDE, S7.5 Web, S7.6 CLI) must bind to those tokens; renderer conformance tests reject token reuse across the AI/human axis.",S2.4 property `AI_HUMAN_VISUAL_DISTINCTION` (added to the closed `PropertyType` enum). The audit confirms there is no overlap between AI and human visual treatments in rendered output; scheduled audit will be wired in S2.4 at consolidation.
INV-022,Recovery mode aesthetically distinct from normal mode,"The recovery shell — entered via the L1 recovery boot path, identity per L4 §7 `_system` scope subjects — is visually unmistakable from normal AIOS. Recovery uses different chrome treatment, a different accent palette, and stricter composition rules (no app surfaces in recovery mode per S7.1's recovery-mode composition rules). The operator must instantly recognize that they are in recovery.","a recovery operator typing destructive commands into what they think is normal mode is a catastrophe. Visual distinction is the last line of defense before that mistake. Combined with INV-012 (recovery required for system mutation), this prevents the 'I thought I was rehearsing' failure mode.","S7.1 separate surface stack for recovery (no `APP_SURFACE` allowed); S7.3 Visual Language defining a recovery-only theme that cannot be matched by any normal-mode theme; recovery accent tokens are gated to `is_recovery_mode = true` rendering paths in S7.4 (KDE), S7.5 (Web), and S7.6 (CLI).",S2.4 property `RECOVERY_AESTHETIC_DISTINCT` (added to the closed `PropertyType` enum). The audit confirms that recovery rendering uses recovery-only tokens not present in any normal-mode theme; scheduled audit will be wired in S2.4 at consolidation.
INV-023,CHROME composition zone is reserved for trust surfaces,"The `CHROME` composition zone (per S7.1 closed `CompositionZone` enum) is reserved exclusively for renderer-owned trust surfaces authored by the AIOS system identity. AI subjects (`is_ai = true` per L4 §10) cannot author CHROME-zone content under any circumstance. `APP_SURFACE`-kind and `STREAM_SURFACE`-kind surfaces cannot be promoted into the CHROME zone, regardless of subject. Any authorship or promotion attempt fails closed.","the CHROME zone hosts the operator's last-mile trust indicators — approval prompts, evidence links, security badges, identity chips, recovery-mode markers (per INV-020). If any other zone or any AI subject could compose into CHROME, the trust path collapses: an AI agent could synthesise a 'Granted' badge over a denied action, an app surface could overlay the recovery-mode banner, or a marketplace skin could repaint the action-origin chip. The integrity of CHROME is the integrity of operator cons","S7.1 Surface + Composition runtime (rejects any non-system surface targeting `zone = CHROME` and rejects subject-id mismatch on CHROME nodes); L4.1 Policy Kernel constitutional hard-deny `CompositionZoneForbidden` (§27.2.1) which fires before bundle rules; renderer conformance tests (S7.4 KDE, S7.5 Web, S7.6 CLI) reject CHROME-zone authorship by any subject other than the renderer's `aios_chrome` system identity.","S2.4 property `CHROME_ZONE_RESERVED` (added to the closed `PropertyType` enum). The audit walks every live surface, confirms `surface_kind ∈ {AIOS_SURFACE}` for all entries with `zone = CHROME`, and confirms no AI subject appears as author for any CHROME node. Scheduled audit will be wired in S2.4 at consolidation."
INV-024,GPU compute access is capability-gated,Access to `GPU_COMPUTE_HEAVY` (per L8.2 closed `GpuCapabilityClass` enum) requires an explicit `gpu.compute_heavy` capability grant tracked by the L4 capability catalog. The default capability set does not include this grant. Generic adapter capability negotiation cannot synthesise this access. Workloads that need GPGPU compute must request and receive the capability before any compute submission is dispatched to the device.,"GPGPU compute is the highest-cost, highest-risk renderer-adjacent resource. Unbounded GPU compute is the canonical vector for cross-group side-channels (residual memory probing, timing leaks across VkDevice partitions), sustained thermal and energy abuse, and exfiltration via shader timing. Default-deny with explicit capability grant ensures an operator (or, in recovery mode, an emergency override per S5.4) has authorised the workload class. Combined with the L8.2 per-group VkDevice partitioning","L8.2 GPU resource model — capability negotiation rejects compute submission without the active grant; L4.1 Policy Kernel constitutional hard-deny `GpuComputeOutsideAuthorisedClass` (§27.2.2) which fires before bundle rules; L4.3 capability binding records the grant with TTL, scope, and grant-evidence pointer; L9 telemetry (`gpu_compute_class_total`) reports per-class submission counts so out-of-class usage is visible operationally.",S2.4 property `GPU_COMPUTE_GATED` (added to the closed `PropertyType` enum). The audit walks active GPU compute submissions and confirms every one has a live `gpu.compute_heavy` capability binding for the submitting subject; absence triggers `TAMPER_DETECTED` evidence with `invariant_id = INV_024_GPU_COMPUTE_GATED`. Scheduled audit will be wired in S2.4 at consolidation.
INV-025,AI cannot author eBPF,"`AI_NATIVE_SUBJECT` and `AI_AGENT_CAPSULE` subjects cannot author, compile, sign, or load eBPF programs. An AI may at most request, via a typed action, a pre-vetted, signed, **drop-only** eBPF template (no `bpf_redirect`, no map writes that reach userspace control paths). Authoring/loading of eBPF is restricted to `HUMAN_OPERATOR`/`HUMAN_USER` and, under policy, `SYSTEM_SERVICE` subjects for observability.",eBPF runs in-kernel. AI-authored in-kernel code is direct execution and breaks the propose-not-execute boundary (INV-002).,S24 ecosystem runtime adapter (`RUNTIME_EBPF_NATIVE`); S2.3 hard-deny on eBPF authorship for AI subjects.,S2.4 scheduled audit — no eBPF load receipt names an AI subject as author.
INV-026,Cluster root cannot override host policy,"In fleet/cluster mode the host remains sovereign. A cluster root or fleet controller may distribute baselines, request actions, and read replicated evidence, but it cannot force a local Policy Kernel to `ALLOW` what host policy denies. A cluster directive is an input to the host decision, never a substitute for it.",federation must not become a remote-root backdoor. Centralized override would void the local trust boundary and INV-008 default-deny.,"S25 fleet contract; S16.8 zero-trust posture; S2.3 evaluates cluster directives as ordinary policy inputs, default-deny on conflict.",S2.4 audit — every `HOST_POLICY_OVERRIDE_DENIED` path holds; no cluster-origin decision bypasses local default-deny.
INV-027,Crypto-shred erasure preserves the evidence chain,"GDPR/RTBF erasure of personal data is performed by destroying the per-subject data-encryption key (crypto-shredding), not by deleting, modifying, or reordering evidence records. After erasure the ciphertext is permanently undecryptable; the append-only evidence chain (INV-005) still verifies; `VerifyChain` still passes.",reconciles the GDPR right-to-erasure with the constitutional append-only evidence log. Deleting evidence to satisfy erasure would void the audit witness.,S16.9 data governance; Vault Broker key destruction; S3.1 chain unchanged.,"S2.4 audit — after `ERASURE_EXECUTED_CRYPTO_SHRED`, evidence hash chain intact AND target ciphertext key absent from the vault."
INV-028,AI cannot author or alter boot-integrity expectations or boot evidence,"AI subjects cannot author, sign, or alter boot-integrity expectations (PCR expectations, IMA policy, firmware pins, dm-verity/IPE root hashes, lockdown level) and cannot mutate boot-integrity evidence. The boot root of trust is operator/trust-root governed; an AI may read posture and propose typed remediation for Policy Kernel decision only.",the measured-boot root of trust is what every other control attests against. AI authorship of it would let cognition redefine the floor it runs on (INV-002 + INV-005 in the boot axis).,S16.4 measured boot; recovery-gated boot-policy mutation (INV-012); S2.3 hard-deny on AI boot-policy authorship.,S2.4 audit — no boot-integrity policy/evidence mutation names an AI subject.
INV-029,Foreign/maintainer install scripts never execute as root or on the live host,"Maintainer scripts and foreign package install logic (deb `postinst`, RPM scriptlets, AUR build functions, vendor `.run`/installer scripts) never execute as root or against the live host. They are observed in an isolated lab (Universal App Lab / Shadow Install) and translated into typed AIOS actions; untranslatable scripts are blocked or routed to a VM.","running arbitrary upstream scripts as root is the dominant Linux supply-chain risk and is incompatible with bounded, evidenced mutation.",S21 Package Rosetta / Shadow Install; S3.2 sandbox; S2.3 hard-deny on host-root script execution.,S2.4 audit — no `succeeded` host mutation traces to an untranslated foreign script.
INV-030,Workspace data-boundary isolation,"A workload bound to one workspace (work / gaming / lab / family / admin) cannot read another workspace's data, secrets, or saves. A gaming workspace can never read work or family data regardless of performance mode or operator convenience.",workspace is the desktop-era trust boundary; this is the per-workspace specialization of INV-011 (cross-group access forbidden).,S22 workspace model; S3.2 sandbox filesystem policy; S2.3 hard-deny (reuses `CrossGroupAccessForbidden` semantics across workspaces).,"S2.4 audit — no cross-workspace read receipt outside an approved, evidenced export."
INV-031,"A render/approval surface is a policy surface, never an authority","A renderer — including the Mobile and Voice surfaces — carries human consent bound to one exact action hash (S5.3 `EXACT_ACTION`) into the Policy Kernel. It can never decide, self-approve, widen scope beyond the bound hash, hold standing admin authority, or weaken the active SecurityProfile. Voice input is untrusted text subject to the S20 prompt-boundary classifier.","renderers are surfaces over typed state; if a surface could grant authority it would become an uncontrolled admin plane (extends INV-002, INV-009, INV-019/INV-020).",S23 mobile/voice contract; S5.3 exact-action binding; S2.3 decision authority; S7 renderer chrome rules.,S2.4 audit — every mobile/voice-originated effect resolves to a Policy Kernel decision on a matching action hash.
INV-032,Federated identity is loss-free and non-escalating,"Every legacy single-host subject id resolves to exactly one `(realm:default, local_id)` and back without ambiguity. A foreign-realm subject can never resolve to a more privileged local subject than its signed `CrossOrgTrustDelegation` ceiling permits.",federation must not silently escalate privilege or lose identity provenance.,S25 federated identity; S5.1 identity model; S2.3 evaluates the delegation ceiling.,S2.4 audit — identity resolution is bijective for legacy ids and never exceeds the delegation ceiling.
INV-033,Off-host backup is encrypted-at-source and restore preserves the last verified-good copy,"Data leaves the host for backup only encrypted-at-source (the backup target sees ciphertext + content hashes, never plaintext or key material). A restore never destroys the last verified-good copy (current state or last `SEALED` BackupSet) before a new copy reaches `RESTORE_VERIFIED`. `AIRGAP_HIGH` additionally forbids any live-network backup target.",backups are a constitutional safety net; an unencrypted or self-destructive backup path is a data-loss and exfiltration vector.,S26 backup/DR; S16.9 crypto-shred composition; S9.1 recovery boundary.,S2.4 audit — backup payloads are ciphertext-only; a rollback anchor exists until `RESTORE_VERIFIED`.
INV-034,Every evidence timestamp declares its time-trust grade,"Every evidence record is appended with a known, present `TimeTrustGrade` (`UNTRUSTED_LOCAL` | `MONOTONIC_ONLY` | `ATTESTED_SINGLE` | `ATTESTED_QUORUM`). The grade is computed at emit time, is immutable post-seal, and may never be raised retroactively. An untrusted clock yields honest `UNTRUSTED_LOCAL`/`MONOTONIC_ONLY` evidence, never a silently trusted timestamp.",evidence ordering and TTLs depend on time; an unqualified timestamp is a forgeable audit claim. This strengthens INV-005 (append-only) on the time axis.,S28 constitutional time plane; S3.1 evidence appender records the grade.,S2.4 audit — no sealed record lacks a `TimeTrustGrade`; no grade was raised after seal.
