consumer_tag,consumer_layer,producer_tag,producer_layer,snippet,classification,matched_keywords,consumer_path
S9.1,L1,S4.1,L2,S4.1 (`/aios/system/...` recovery-only mutation classes — closed path enum; type-level),vocabulary, enum; type-level,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/01_recovery_boundary.md
S9.1,L1,S5.1,L4,"**Imports vocabulary from**: S5.1 (`SessionClass.RECOVERY`, `_system` scope subjects — closed-enum identifier shape; type-level)",vocabulary, shape; imports vocabulary; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/01_recovery_boundary.md
S9.1,L1,S5.4,L4,S5.4 Emergency Override `STRONG_SOLO` recovery-only (recovery boot requires the override stack present in degraded form),exception,degraded form; requires the over,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/01_recovery_boundary.md
S9.2,L1,S3.1,L9,S3.1 (`RecordType` vocabulary + retention classes + append-only chain shape — type-level evidence-log schema),vocabulary, shape; recordtype; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/02_first_boot_flow.md
S9.2,L1,S4.1,L2,S4.1 (`/aios/system/...` namespace path enum — type-level),vocabulary, enum; type-level,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/02_first_boot_flow.md
S9.2,L1,S5.1,L4,"**Imports vocabulary from**: S5.1 (`SubjectKind`, `_system` scope subjects, `SessionClass` — closed enums; type-level)",vocabulary, enum; closed enum; imports vocabulary; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/02_first_boot_flow.md
S9.2,L1,S5.2,L4,S5.2 (master-key seal API surface — type-level capability schema co-defined with L4 vault),vocabulary,type-level,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/02_first_boot_flow.md
S9.3,L1,S10.1,L3,"**Imports vocabulary from**: S10.1 Capability Runtime (`ActionLifecycleState`, `ActionDispatchKind = ISOLATED_SANDBOX`, `AdapterIOMode = TYPED_PARAMETERS_ONLY`, `ExecutionFailureReason = EXECUTION_VER...",vocabulary, shape; imports vocabulary; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/03_dedicated_kernel_pipeline.md
S9.3,L1,S11.1,L10,"S11.1 Repository Model (`PackageKind = KERNEL_CANDIDATE`, `RepositoryKind = AIOS_RECOVERY_REPO`, `UpdateChannel = RECOVERY_CRITICAL` — type-level package vocabulary), S8.2 GPU Resource Model (hardware...",vocabulary,id format; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/03_dedicated_kernel_pipeline.md
S9.3,L1,S3.2,L6,"S3.2 Sandbox Composition (`SandboxProfile`, runtime safety floor, AI-floor — type-level profile schema), S11.1 Repository Model (`PackageKind = KERNEL_CANDIDATE`, `RepositoryKind = AIOS_RECOVERY_REPO`...",vocabulary,type-level,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/03_dedicated_kernel_pipeline.md
S9.3,L1,S8.2,L8,"S8.2 GPU Resource Model (hardware graph snapshot id format — type-level), L8 HDM (`HardwareGraphSnapshotId` shape — type-level), S3.1 Evidence Log (`RecordType` + retention classes + hash chain shape ...",vocabulary, shape; id format; recordtype; type-level,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/03_dedicated_kernel_pipeline.md
